Serial Floating Division: 1-bit sign, 8-bit exponent, and 23-bit mantissa with 19909 cycles and 139 cells total.
Supports only signed numbers.

Inputs:
	 xs (1-bit): 0 
T12769:	134 = INIT1
T12770:	134 = NOR(99, 133)
T12771:	135 = INIT1
T12772:	135 = NOR(99, 134)
T12773:	136 = INIT1
T12774:	136 = NOR(133, 134)
T12775:	137 = INIT1
T12776:	137 = NOR(135, 136)
T12777:	135 = INIT1
T12778:	135 = NOR(137, 79)
T12779:	136 = INIT1
T12780:	136 = NOR(135, 137)
T12781:	137 = INIT1
T12782:	137 = NOR(135, 79)
T12783:	112 = INIT1
T12784:	112 = NOR(137, 136)
T12785:	132 = INIT1
T12786:	132 = NOR(134, 135)
T12787:	134 = INIT1
T12788:	134 = NOT(42)
T12789:	135 = INIT1
T12790:	135 = NOR(42, 79)
T12791:	136 = INIT1
T12792:	136 = NOR(134, 129)
T12793:	133 = INIT1
T12794:	133 = NOR(135, 136)
T12795:	134 = INIT1
T12796:	134 = NOR(113, 133)
T12797:	135 = INIT1
T12798:	135 = NOR(113, 134)
T12799:	136 = INIT1
T12800:	136 = NOR(133, 134)
T12801:	137 = INIT1
T12802:	137 = NOR(135, 136)
T12803:	135 = INIT1
T12804:	135 = NOR(137, 132)
T12805:	136 = INIT1
T12806:	136 = NOR(135, 137)
T12807:	137 = INIT1
T12808:	137 = NOR(135, 132)
T12809:	113 = INIT1
T12810:	113 = NOR(137, 136)
T12811:	132 = INIT1
T12812:	132 = NOR(134, 135)
T12813:	134 = INIT1
T12814:	134 = NOT(43)
T12815:	135 = INIT1
T12816:	135 = NOR(43, 79)
T12817:	136 = INIT1
T12818:	136 = NOR(134, 129)
T12819:	133 = INIT1
T12820:	133 = NOR(135, 136)
T12821:	134 = INIT1
T12822:	134 = NOR(114, 133)
T12823:	135 = INIT1
T12824:	135 = NOR(114, 134)
T12825:	136 = INIT1
T12826:	136 = NOR(133, 134)
T12827:	137 = INIT1
T12828:	137 = NOR(135, 136)
T12829:	135 = INIT1
T12830:	135 = NOR(137, 132)
T12831:	136 = INIT1
T12832:	136 = NOR(135, 137)
T12833:	137 = INIT1
T12834:	137 = NOR(135, 132)
T12835:	114 = INIT1
T12836:	114 = NOR(137, 136)
T12837:	132 = INIT1
T12838:	132 = NOR(134, 135)
T12839:	134 = INIT1
T12840:	134 = NOT(44)
T12841:	135 = INIT1
T12842:	135 = NOR(44, 79)
T12843:	136 = INIT1
T12844:	136 = NOR(134, 129)
T12845:	133 = INIT1
T12846:	133 = NOR(135, 136)
T12847:	134 = INIT1
T12848:	134 = NOR(115, 133)
T12849:	135 = INIT1
T12850:	135 = NOR(115, 134)
T12851:	136 = INIT1
T12852:	136 = NOR(133, 134)
T12853:	137 = INIT1
T12854:	137 = NOR(135, 136)
T12855:	135 = INIT1
T12856:	135 = NOR(137, 132)
T12857:	136 = INIT1
T12858:	136 = NOR(135, 137)
T12859:	137 = INIT1
T12860:	137 = NOR(135, 132)
T12861:	115 = INIT1
T12862:	115 = NOR(137, 136)
T12863:	132 = INIT1
T12864:	132 = NOR(134, 135)
T12865:	134 = INIT1
T12866:	134 = NOT(45)
T12867:	135 = INIT1
T12868:	135 = NOR(45, 79)
T12869:	136 = INIT1
T12870:	136 = NOR(134, 129)
T12871:	133 = INIT1
T12872:	133 = NOR(135, 136)
T12873:	134 = INIT1
T12874:	134 = NOR(116, 133)
T12875:	135 = INIT1
T12876:	135 = NOR(116, 134)
T12877:	136 = INIT1
T12878:	136 = NOR(133, 134)
T12879:	137 = INIT1
T12880:	137 = NOR(135, 136)
T12881:	135 = INIT1
T12882:	135 = NOR(137, 132)
T12883:	136 = INIT1
T12884:	136 = NOR(135, 137)
T12885:	137 = INIT1
T12886:	137 = NOR(135, 132)
T12887:	116 = INIT1
T12888:	116 = NOR(137, 136)
T12889:	132 = INIT1
T12890:	132 = NOR(134, 135)
T12891:	134 = INIT1
T12892:	134 = NOT(46)
T12893:	135 = INIT1
T12894:	135 = NOR(46, 79)
T12895:	136 = INIT1
T12896:	136 = NOR(134, 129)
T12897:	133 = INIT1
T12898:	133 = NOR(135, 136)
T12899:	134 = INIT1
T12900:	134 = NOR(117, 133)
T12901:	135 = INIT1
T12902:	135 = NOR(117, 134)
T12903:	136 = INIT1
T12904:	136 = NOR(133, 134)
T12905:	137 = INIT1
T12906:	137 = NOR(135, 136)
T12907:	135 = INIT1
T12908:	135 = NOR(137, 132)
T12909:	136 = INIT1
T12910:	136 = NOR(135, 137)
T12911:	137 = INIT1
T12912:	137 = NOR(135, 132)
T12913:	117 = INIT1
T12914:	117 = NOR(137, 136)
T12915:	132 = INIT1
T12916:	132 = NOR(134, 135)
T12917:	134 = INIT1
T12918:	134 = NOT(47)
T12919:	135 = INIT1
T12920:	135 = NOR(47, 79)
T12921:	136 = INIT1
T12922:	136 = NOR(134, 129)
T12923:	133 = INIT1
T12924:	133 = NOR(135, 136)
T12925:	134 = INIT1
T12926:	134 = NOR(118, 133)
T12927:	135 = INIT1
T12928:	135 = NOR(118, 134)
T12929:	136 = INIT1
T12930:	136 = NOR(133, 134)
T12931:	137 = INIT1
T12932:	137 = NOR(135, 136)
T12933:	135 = INIT1
T12934:	135 = NOR(137, 132)
T12935:	136 = INIT1
T12936:	136 = NOR(135, 137)
T12937:	137 = INIT1
T12938:	137 = NOR(135, 132)
T12939:	118 = INIT1
T12940:	118 = NOR(137, 136)
T12941:	132 = INIT1
T12942:	132 = NOR(134, 135)
T12943:	134 = INIT1
T12944:	134 = NOT(48)
T12945:	135 = INIT1
T12946:	135 = NOR(48, 79)
T12947:	136 = INIT1
T12948:	136 = NOR(134, 129)
T12949:	133 = INIT1
T12950:	133 = NOR(135, 136)
T12951:	134 = INIT1
T12952:	134 = NOR(119, 133)
T12953:	135 = INIT1
T12954:	135 = NOR(119, 134)
T12955:	136 = INIT1
T12956:	136 = NOR(133, 134)
T12957:	137 = INIT1
T12958:	137 = NOR(135, 136)
T12959:	135 = INIT1
T12960:	135 = NOR(137, 132)
T12961:	136 = INIT1
T12962:	136 = NOR(135, 137)
T12963:	137 = INIT1
T12964:	137 = NOR(135, 132)
T12965:	119 = INIT1
T12966:	119 = NOR(137, 136)
T12967:	132 = INIT1
T12968:	132 = NOR(134, 135)
T12969:	134 = INIT1
T12970:	134 = NOT(49)
T12971:	135 = INIT1
T12972:	135 = NOR(49, 79)
T12973:	136 = INIT1
T12974:	136 = NOR(134, 129)
T12975:	133 = INIT1
T12976:	133 = NOR(135, 136)
T12977:	134 = INIT1
T12978:	134 = NOR(120, 133)
T12979:	135 = INIT1
T12980:	135 = NOR(120, 134)
T12981:	136 = INIT1
T12982:	136 = NOR(133, 134)
T12983:	137 = INIT1
T12984:	137 = NOR(135, 136)
T12985:	135 = INIT1
T12986:	135 = NOR(137, 132)
T12987:	136 = INIT1
T12988:	136 = NOR(135, 137)
T12989:	137 = INIT1
T12990:	137 = NOR(135, 132)
T12991:	120 = INIT1
T12992:	120 = NOR(137, 136)
T12993:	132 = INIT1
T12994:	132 = NOR(134, 135)
T12995:	134 = INIT1
T12996:	134 = NOT(50)
T12997:	135 = INIT1
T12998:	135 = NOR(50, 79)
T12999:	136 = INIT1
T13000:	136 = NOR(134, 129)
T13001:	133 = INIT1
T13002:	133 = NOR(135, 136)
T13003:	134 = INIT1
T13004:	134 = NOR(121, 133)
T13005:	135 = INIT1
T13006:	135 = NOR(121, 134)
T13007:	136 = INIT1
T13008:	136 = NOR(133, 134)
T13009:	137 = INIT1
T13010:	137 = NOR(135, 136)
T13011:	135 = INIT1
T13012:	135 = NOR(137, 132)
T13013:	136 = INIT1
T13014:	136 = NOR(135, 137)
T13015:	137 = INIT1
T13016:	137 = NOR(135, 132)
T13017:	121 = INIT1
T13018:	121 = NOR(137, 136)
T13019:	132 = INIT1
T13020:	132 = NOR(134, 135)
T13021:	134 = INIT1
T13022:	134 = NOT(51)
T13023:	135 = INIT1
T13024:	135 = NOR(51, 79)
T13025:	136 = INIT1
T13026:	136 = NOR(134, 129)
T13027:	133 = INIT1
T13028:	133 = NOR(135, 136)
T13029:	134 = INIT1
T13030:	134 = NOR(122, 133)
T13031:	135 = INIT1
T13032:	135 = NOR(122, 134)
T13033:	136 = INIT1
T13034:	136 = NOR(133, 134)
T13035:	137 = INIT1
T13036:	137 = NOR(135, 136)
T13037:	135 = INIT1
T13038:	135 = NOR(137, 132)
T13039:	136 = INIT1
T13040:	136 = NOR(135, 137)
T13041:	137 = INIT1
T13042:	137 = NOR(135, 132)
T13043:	122 = INIT1
T13044:	122 = NOR(137, 136)
T13045:	132 = INIT1
T13046:	132 = NOR(134, 135)
T13047:	134 = INIT1
T13048:	134 = NOT(52)
T13049:	135 = INIT1
T13050:	135 = NOR(52, 79)
T13051:	136 = INIT1
T13052:	136 = NOR(134, 129)
T13053:	133 = INIT1
T13054:	133 = NOR(135, 136)
T13055:	134 = INIT1
T13056:	134 = NOR(123, 133)
T13057:	135 = INIT1
T13058:	135 = NOR(123, 134)
T13059:	136 = INIT1
T13060:	136 = NOR(133, 134)
T13061:	137 = INIT1
T13062:	137 = NOR(135, 136)
T13063:	135 = INIT1
T13064:	135 = NOR(137, 132)
T13065:	136 = INIT1
T13066:	136 = NOR(135, 137)
T13067:	137 = INIT1
T13068:	137 = NOR(135, 132)
T13069:	123 = INIT1
T13070:	123 = NOR(137, 136)
T13071:	132 = INIT1
T13072:	132 = NOR(134, 135)
T13073:	134 = INIT1
T13074:	134 = NOT(53)
T13075:	135 = INIT1
T13076:	135 = NOR(53, 79)
T13077:	136 = INIT1
T13078:	136 = NOR(134, 129)
T13079:	133 = INIT1
T13080:	133 = NOR(135, 136)
T13081:	134 = INIT1
T13082:	134 = NOR(124, 133)
T13083:	135 = INIT1
T13084:	135 = NOR(124, 134)
T13085:	136 = INIT1
T13086:	136 = NOR(133, 134)
T13087:	137 = INIT1
T13088:	137 = NOR(135, 136)
T13089:	135 = INIT1
T13090:	135 = NOR(137, 132)
T13091:	136 = INIT1
T13092:	136 = NOR(135, 137)
T13093:	137 = INIT1
T13094:	137 = NOR(135, 132)
T13095:	124 = INIT1
T13096:	124 = NOR(137, 136)
T13097:	132 = INIT1
T13098:	132 = NOR(134, 135)
T13099:	134 = INIT1
T13100:	134 = NOT(54)
T13101:	135 = INIT1
T13102:	135 = NOR(54, 79)
T13103:	136 = INIT1
T13104:	136 = NOR(134, 129)
T13105:	133 = INIT1
T13106:	133 = NOR(135, 136)
T13107:	134 = INIT1
T13108:	134 = NOR(125, 133)
T13109:	135 = INIT1
T13110:	135 = NOR(125, 134)
T13111:	136 = INIT1
T13112:	136 = NOR(133, 134)
T13113:	137 = INIT1
T13114:	137 = NOR(135, 136)
T13115:	135 = INIT1
T13116:	135 = NOR(137, 132)
T13117:	136 = INIT1
T13118:	136 = NOR(135, 137)
T13119:	137 = INIT1
T13120:	137 = NOR(135, 132)
T13121:	125 = INIT1
T13122:	125 = NOR(137, 136)
T13123:	132 = INIT1
T13124:	132 = NOR(134, 135)
T13125:	134 = INIT1
T13126:	134 = NOT(55)
T13127:	135 = INIT1
T13128:	135 = NOR(55, 79)
T13129:	136 = INIT1
T13130:	136 = NOR(134, 129)
T13131:	133 = INIT1
T13132:	133 = NOR(135, 136)
T13133:	134 = INIT1
T13134:	134 = NOR(126, 133)
T13135:	135 = INIT1
T13136:	135 = NOR(126, 134)
T13137:	136 = INIT1
T13138:	136 = NOR(133, 134)
T13139:	137 = INIT1
T13140:	137 = NOR(135, 136)
T13141:	135 = INIT1
T13142:	135 = NOR(137, 132)
T13143:	136 = INIT1
T13144:	136 = NOR(135, 137)
T13145:	137 = INIT1
T13146:	137 = NOR(135, 132)
T13147:	126 = INIT1
T13148:	126 = NOR(137, 136)
T13149:	132 = INIT1
T13150:	132 = NOR(134, 135)
T13151:	134 = INIT1
T13152:	134 = NOT(56)
T13153:	135 = INIT1
T13154:	135 = NOR(56, 79)
T13155:	136 = INIT1
T13156:	136 = NOR(134, 129)
T13157:	133 = INIT1
T13158:	133 = NOR(135, 136)
T13159:	134 = INIT1
T13160:	134 = NOR(127, 133)
T13161:	135 = INIT1
T13162:	135 = NOR(127, 134)
T13163:	136 = INIT1
T13164:	136 = NOR(133, 134)
T13165:	137 = INIT1
T13166:	137 = NOR(135, 136)
T13167:	135 = INIT1
T13168:	135 = NOR(137, 132)
T13169:	136 = INIT1
T13170:	136 = NOR(135, 137)
T13171:	137 = INIT1
T13172:	137 = NOR(135, 132)
T13173:	127 = INIT1
T13174:	127 = NOR(137, 136)
T13175:	132 = INIT1
T13176:	132 = NOR(134, 135)
T13177:	134 = INIT1
T13178:	134 = NOT(57)
T13179:	135 = INIT1
T13180:	135 = NOR(57, 79)
T13181:	136 = INIT1
T13182:	136 = NOR(134, 129)
T13183:	133 = INIT1
T13184:	133 = NOR(135, 136)
T13185:	134 = INIT1
T13186:	134 = NOR(128, 133)
T13187:	135 = INIT1
T13188:	135 = NOR(128, 134)
T13189:	136 = INIT1
T13190:	136 = NOR(133, 134)
T13191:	137 = INIT1
T13192:	137 = NOR(135, 136)
T13193:	135 = INIT1
T13194:	135 = NOR(137, 132)
T13195:	136 = INIT1
T13196:	136 = NOR(135, 137)
T13197:	137 = INIT1
T13198:	137 = NOR(135, 132)
T13199:	128 = INIT1
T13200:	128 = NOR(137, 136)
T13201:	132 = INIT1
T13202:	132 = NOR(134, 135)
T13203:	134 = INIT1
T13204:	134 = NOT(58)
T13205:	135 = INIT1
T13206:	135 = NOR(58, 79)
T13207:	136 = INIT1
T13208:	136 = NOR(134, 129)
T13209:	133 = INIT1
T13210:	133 = NOR(135, 136)
T13211:	134 = INIT1
T13212:	134 = NOR(130, 133)
T13213:	135 = INIT1
T13214:	135 = NOR(130, 134)
T13215:	136 = INIT1
T13216:	136 = NOR(133, 134)
T13217:	137 = INIT1
T13218:	137 = NOR(135, 136)
T13219:	135 = INIT1
T13220:	135 = NOR(137, 132)
T13221:	136 = INIT1
T13222:	136 = NOR(135, 137)
T13223:	137 = INIT1
T13224:	137 = NOR(135, 132)
T13225:	130 = INIT1
T13226:	130 = NOR(137, 136)
T13227:	132 = INIT1
T13228:	132 = NOR(134, 135)
T13229:	134 = INIT1
T13230:	134 = NOT(59)
T13231:	135 = INIT1
T13232:	135 = NOR(59, 79)
T13233:	136 = INIT1
T13234:	136 = NOR(134, 129)
T13235:	133 = INIT1
T13236:	133 = NOR(135, 136)
T13237:	134 = INIT1
T13238:	134 = NOR(131, 133)
T13239:	135 = INIT1
T13240:	135 = NOR(131, 134)
T13241:	136 = INIT1
T13242:	136 = NOR(133, 134)
T13243:	137 = INIT1
T13244:	137 = NOR(135, 136)
T13245:	135 = INIT1
T13246:	135 = NOR(137, 132)
T13247:	136 = INIT1
T13248:	136 = NOR(135, 137)
T13249:	137 = INIT1
T13250:	137 = NOR(135, 132)
T13251:	131 = INIT1
T13252:	131 = NOR(137, 136)
T13253:	132 = INIT1
T13254:	132 = NOR(134, 135)
T13255:	134 = INIT1
T13256:	134 = NOT(60)
T13257:	135 = INIT1
T13258:	135 = NOR(60, 79)
T13259:	136 = INIT1
T13260:	136 = NOR(134, 129)
T13261:	133 = INIT1
T13262:	133 = NOR(135, 136)
T13263:	134 = INIT1
T13264:	134 = NOR(103, 133)
T13265:	135 = INIT1
T13266:	135 = NOR(103, 134)
T13267:	136 = INIT1
T13268:	136 = NOR(133, 134)
T13269:	137 = INIT1
T13270:	137 = NOR(135, 136)
T13271:	135 = INIT1
T13272:	135 = NOR(137, 132)
T13273:	136 = INIT1
T13274:	136 = NOR(135, 137)
T13275:	137 = INIT1
T13276:	137 = NOR(135, 132)
T13277:	103 = INIT1
T13278:	103 = NOR(137, 136)
T13279:	132 = INIT1
T13280:	132 = NOR(134, 135)
T13281:	134 = INIT1
T13282:	134 = NOT(61)
T13283:	135 = INIT1
T13284:	135 = NOR(61, 79)
T13285:	136 = INIT1
T13286:	136 = NOR(134, 129)
T13287:	133 = INIT1
T13288:	133 = NOR(135, 136)
T13289:	134 = INIT1
T13290:	134 = NOR(104, 133)
T13291:	135 = INIT1
T13292:	135 = NOR(104, 134)
T13293:	136 = INIT1
T13294:	136 = NOR(133, 134)
T13295:	137 = INIT1
T13296:	137 = NOR(135, 136)
T13297:	135 = INIT1
T13298:	135 = NOR(137, 132)
T13299:	136 = INIT1
T13300:	136 = NOR(135, 137)
T13301:	137 = INIT1
T13302:	137 = NOR(135, 132)
T13303:	104 = INIT1
T13304:	104 = NOR(137, 136)
T13305:	132 = INIT1
T13306:	132 = NOR(134, 135)
T13307:	134 = INIT1
T13308:	134 = NOT(62)
T13309:	135 = INIT1
T13310:	135 = NOR(62, 79)
T13311:	136 = INIT1
T13312:	136 = NOR(134, 129)
T13313:	133 = INIT1
T13314:	133 = NOR(135, 136)
T13315:	134 = INIT1
T13316:	134 = NOR(105, 133)
T13317:	135 = INIT1
T13318:	135 = NOR(105, 134)
T13319:	136 = INIT1
T13320:	136 = NOR(133, 134)
T13321:	137 = INIT1
T13322:	137 = NOR(135, 136)
T13323:	135 = INIT1
T13324:	135 = NOR(137, 132)
T13325:	136 = INIT1
T13326:	136 = NOR(135, 137)
T13327:	137 = INIT1
T13328:	137 = NOR(135, 132)
T13329:	105 = INIT1
T13330:	105 = NOR(137, 136)
T13331:	132 = INIT1
T13332:	132 = NOR(134, 135)
T13333:	134 = INIT1
T13334:	134 = NOT(63)
T13335:	135 = INIT1
T13336:	135 = NOR(63, 79)
T13337:	136 = INIT1
T13338:	136 = NOR(134, 129)
T13339:	133 = INIT1
T13340:	133 = NOR(135, 136)
T13341:	134 = INIT1
T13342:	134 = NOR(106, 133)
T13343:	135 = INIT1
T13344:	135 = NOR(106, 134)
T13345:	136 = INIT1
T13346:	136 = NOR(133, 134)
T13347:	137 = INIT1
T13348:	137 = NOR(135, 136)
T13349:	135 = INIT1
T13350:	135 = NOR(137, 132)
T13351:	136 = INIT1
T13352:	136 = NOR(135, 137)
T13353:	137 = INIT1
T13354:	137 = NOR(135, 132)
T13355:	106 = INIT1
T13356:	106 = NOR(137, 136)
T13357:	132 = INIT1
T13358:	132 = NOR(134, 135)
T13359:	134 = INIT1
T13360:	134 = NOT(97)
T13361:	135 = INIT1
T13362:	135 = NOR(97, 79)
T13363:	136 = INIT1
T13364:	136 = NOR(134, 129)
T13365:	133 = INIT1
T13366:	133 = NOR(135, 136)
T13367:	134 = INIT1
T13368:	134 = NOR(107, 133)
T13369:	135 = INIT1
T13370:	135 = NOR(107, 134)
T13371:	136 = INIT1
T13372:	136 = NOR(133, 134)
T13373:	137 = INIT1
T13374:	137 = NOR(135, 136)
T13375:	135 = INIT1
T13376:	135 = NOR(137, 132)
T13377:	136 = INIT1
T13378:	136 = NOR(135, 137)
T13379:	137 = INIT1
T13380:	137 = NOR(135, 132)
T13381:	107 = INIT1
T13382:	107 = NOR(137, 136)
T13383:	132 = INIT1
T13384:	132 = NOR(134, 135)
T13385:	134 = INIT1
T13386:	134 = NOT(99)
T13387:	135 = INIT1
T13388:	135 = NOR(99, 79)
T13389:	136 = INIT1
T13390:	136 = NOR(134, 129)
T13391:	133 = INIT1
T13392:	133 = NOR(135, 136)
T13393:	134 = INIT1
T13394:	134 = NOR(108, 133)
T13395:	135 = INIT1
T13396:	135 = NOR(108, 134)
T13397:	136 = INIT1
T13398:	136 = NOR(133, 134)
T13399:	137 = INIT1
T13400:	137 = NOR(135, 136)
T13401:	135 = INIT1
T13402:	135 = NOR(137, 132)
T13403:	136 = INIT1
T13404:	136 = NOR(135, 137)
T13405:	137 = INIT1
T13406:	137 = NOR(135, 132)
T13407:	108 = INIT1
T13408:	108 = NOR(137, 136)
T13409:	132 = INIT1
T13410:	132 = NOR(134, 135)
T13411:	134 = INIT1
T13412:	134 = NOT(99)
T13413:	135 = INIT1
T13414:	135 = NOR(99, 79)
T13415:	136 = INIT1
T13416:	136 = NOR(134, 129)
T13417:	133 = INIT1
T13418:	133 = NOR(135, 136)
T13419:	134 = INIT1
T13420:	134 = NOR(109, 133)
T13421:	135 = INIT1
T13422:	135 = NOR(109, 134)
T13423:	136 = INIT1
T13424:	136 = NOR(133, 134)
T13425:	137 = INIT1
T13426:	137 = NOR(135, 136)
T13427:	135 = INIT1
T13428:	135 = NOR(137, 132)
T13429:	136 = INIT1
T13430:	136 = NOR(135, 137)
T13431:	137 = INIT1
T13432:	137 = NOR(135, 132)
T13433:	109 = INIT1
T13434:	109 = NOR(137, 136)
T13435:	132 = INIT1
T13436:	132 = NOR(134, 135)
T13437:	133 = INIT1
T13438:	133 = NOR(110, 79)
T13439:	134 = INIT1
T13440:	134 = NOR(110, 133)
T13441:	135 = INIT1
T13442:	135 = NOR(79, 133)
T13443:	136 = INIT1
T13444:	136 = NOR(134, 135)
T13445:	134 = INIT1
T13446:	134 = NOR(136, 132)
T13447:	135 = INIT1
T13448:	135 = NOR(134, 136)
T13449:	136 = INIT1
T13450:	136 = NOR(134, 132)
T13451:	110 = INIT1
T13452:	110 = NOR(136, 135)
T13453:	132 = INIT1
T13454:	132 = NOR(133, 134)
T13455:	133 = INIT1
T13456:	133 = NOR(111, 79)
T13457:	134 = INIT1
T13458:	134 = NOR(111, 133)
T13459:	135 = INIT1
T13460:	135 = NOR(79, 133)
T13461:	136 = INIT1
T13462:	136 = NOR(134, 135)
T13463:	134 = INIT1
T13464:	134 = NOR(136, 132)
T13465:	135 = INIT1
T13466:	135 = NOR(134, 136)
T13467:	136 = INIT1
T13468:	136 = NOR(134, 132)
T13469:	111 = INIT1
T13470:	111 = NOR(136, 135)
T13471:	132 = INIT1
T13472:	132 = NOR(133, 134)
T13473:	78  = INIT1
T13474:	78  = NOT(111)
T13475:	129 = INIT1
T13476:	129 = NOT(78)
T13477:	134 = INIT1
T13478:	134 = NOT(41)
T13479:	135 = INIT1
T13480:	135 = NOR(41, 78)
T13481:	136 = INIT1
T13482:	136 = NOR(134, 129)
T13483:	133 = INIT1
T13484:	133 = NOR(135, 136)
T13485:	134 = INIT1
T13486:	134 = NOR(99, 133)
T13487:	135 = INIT1
T13488:	135 = NOR(99, 134)
T13489:	136 = INIT1
T13490:	136 = NOR(133, 134)
T13491:	137 = INIT1
T13492:	137 = NOR(135, 136)
T13493:	135 = INIT1
T13494:	135 = NOR(137, 78)
T13495:	136 = INIT1
T13496:	136 = NOR(135, 137)
T13497:	137 = INIT1
T13498:	137 = NOR(135, 78)
T13499:	111 = INIT1
T13500:	111 = NOR(137, 136)
T13501:	132 = INIT1
T13502:	132 = NOR(134, 135)
T13503:	134 = INIT1
T13504:	134 = NOT(42)
T13505:	135 = INIT1
T13506:	135 = NOR(42, 78)
T13507:	136 = INIT1
T13508:	136 = NOR(134, 129)
T13509:	133 = INIT1
T13510:	133 = NOR(135, 136)
T13511:	134 = INIT1
T13512:	134 = NOR(112, 133)
T13513:	135 = INIT1
T13514:	135 = NOR(112, 134)
T13515:	136 = INIT1
T13516:	136 = NOR(133, 134)
T13517:	137 = INIT1
T13518:	137 = NOR(135, 136)
T13519:	135 = INIT1
T13520:	135 = NOR(137, 132)
T13521:	136 = INIT1
T13522:	136 = NOR(135, 137)
T13523:	137 = INIT1
T13524:	137 = NOR(135, 132)
T13525:	112 = INIT1
T13526:	112 = NOR(137, 136)
T13527:	132 = INIT1
T13528:	132 = NOR(134, 135)
T13529:	134 = INIT1
T13530:	134 = NOT(43)
T13531:	135 = INIT1
T13532:	135 = NOR(43, 78)
T13533:	136 = INIT1
T13534:	136 = NOR(134, 129)
T13535:	133 = INIT1
T13536:	133 = NOR(135, 136)
T13537:	134 = INIT1
T13538:	134 = NOR(113, 133)
T13539:	135 = INIT1
T13540:	135 = NOR(113, 134)
T13541:	136 = INIT1
T13542:	136 = NOR(133, 134)
T13543:	137 = INIT1
T13544:	137 = NOR(135, 136)
T13545:	135 = INIT1
T13546:	135 = NOR(137, 132)
T13547:	136 = INIT1
T13548:	136 = NOR(135, 137)
T13549:	137 = INIT1
T13550:	137 = NOR(135, 132)
T13551:	113 = INIT1
T13552:	113 = NOR(137, 136)
T13553:	132 = INIT1
T13554:	132 = NOR(134, 135)
T13555:	134 = INIT1
T13556:	134 = NOT(44)
T13557:	135 = INIT1
T13558:	135 = NOR(44, 78)
T13559:	136 = INIT1
T13560:	136 = NOR(134, 129)
T13561:	133 = INIT1
T13562:	133 = NOR(135, 136)
T13563:	134 = INIT1
T13564:	134 = NOR(114, 133)
T13565:	135 = INIT1
T13566:	135 = NOR(114, 134)
T13567:	136 = INIT1
T13568:	136 = NOR(133, 134)
T13569:	137 = INIT1
T13570:	137 = NOR(135, 136)
T13571:	135 = INIT1
T13572:	135 = NOR(137, 132)
T13573:	136 = INIT1
T13574:	136 = NOR(135, 137)
T13575:	137 = INIT1
T13576:	137 = NOR(135, 132)
T13577:	114 = INIT1
T13578:	114 = NOR(137, 136)
T13579:	132 = INIT1
T13580:	132 = NOR(134, 135)
T13581:	134 = INIT1
T13582:	134 = NOT(45)
T13583:	135 = INIT1
T13584:	135 = NOR(45, 78)
T13585:	136 = INIT1
T13586:	136 = NOR(134, 129)
T13587:	133 = INIT1
T13588:	133 = NOR(135, 136)
T13589:	134 = INIT1
T13590:	134 = NOR(115, 133)
T13591:	135 = INIT1
T13592:	135 = NOR(115, 134)
T13593:	136 = INIT1
T13594:	136 = NOR(133, 134)
T13595:	137 = INIT1
T13596:	137 = NOR(135, 136)
T13597:	135 = INIT1
T13598:	135 = NOR(137, 132)
T13599:	136 = INIT1
T13600:	136 = NOR(135, 137)
T13601:	137 = INIT1
T13602:	137 = NOR(135, 132)
T13603:	115 = INIT1
T13604:	115 = NOR(137, 136)
T13605:	132 = INIT1
T13606:	132 = NOR(134, 135)
T13607:	134 = INIT1
T13608:	134 = NOT(46)
T13609:	135 = INIT1
T13610:	135 = NOR(46, 78)
T13611:	136 = INIT1
T13612:	136 = NOR(134, 129)
T13613:	133 = INIT1
T13614:	133 = NOR(135, 136)
T13615:	134 = INIT1
T13616:	134 = NOR(116, 133)
T13617:	135 = INIT1
T13618:	135 = NOR(116, 134)
T13619:	136 = INIT1
T13620:	136 = NOR(133, 134)
T13621:	137 = INIT1
T13622:	137 = NOR(135, 136)
T13623:	135 = INIT1
T13624:	135 = NOR(137, 132)
T13625:	136 = INIT1
T13626:	136 = NOR(135, 137)
T13627:	137 = INIT1
T13628:	137 = NOR(135, 132)
T13629:	116 = INIT1
T13630:	116 = NOR(137, 136)
T13631:	132 = INIT1
T13632:	132 = NOR(134, 135)
T13633:	134 = INIT1
T13634:	134 = NOT(47)
T13635:	135 = INIT1
T13636:	135 = NOR(47, 78)
T13637:	136 = INIT1
T13638:	136 = NOR(134, 129)
T13639:	133 = INIT1
T13640:	133 = NOR(135, 136)
T13641:	134 = INIT1
T13642:	134 = NOR(117, 133)
T13643:	135 = INIT1
T13644:	135 = NOR(117, 134)
T13645:	136 = INIT1
T13646:	136 = NOR(133, 134)
T13647:	137 = INIT1
T13648:	137 = NOR(135, 136)
T13649:	135 = INIT1
T13650:	135 = NOR(137, 132)
T13651:	136 = INIT1
T13652:	136 = NOR(135, 137)
T13653:	137 = INIT1
T13654:	137 = NOR(135, 132)
T13655:	117 = INIT1
T13656:	117 = NOR(137, 136)
T13657:	132 = INIT1
T13658:	132 = NOR(134, 135)
T13659:	134 = INIT1
T13660:	134 = NOT(48)
T13661:	135 = INIT1
T13662:	135 = NOR(48, 78)
T13663:	136 = INIT1
T13664:	136 = NOR(134, 129)
T13665:	133 = INIT1
T13666:	133 = NOR(135, 136)
T13667:	134 = INIT1
T13668:	134 = NOR(118, 133)
T13669:	135 = INIT1
T13670:	135 = NOR(118, 134)
T13671:	136 = INIT1
T13672:	136 = NOR(133, 134)
